01/01/1900 &  2415021.08 &  18/01/1950 &  2433299.83 & 06/01/2000 &  2451550.25 23/01/2050 & 2469829.71\\
12/01/1937 &  2428546.19 &  29/01/1987 &  2446825.07 & 16/01/2037 &  2465074.91 04/01/2087 & 2483325.42\\
01/01/1938 &  2428900.29 &  19/01/1988 &  2447179.73 & 05/01/2038 &  2465429.07 23/01/2088 & 2483709.31\\
20/01/1939 &  2429284.06 &  07/01/1989 &  2447534.31 & 24/01/2039 &  2465813.06 11/01/2089 & 2484063.34\\
09/01/1940 &  2429638.08 &  26/01/1990 &  2447918.31 & 14/01/2040 &  2466167.64 30/01/2090 & 2484447.11\\
27/01/1941 &  2430021.96 &  15/01/1991 &  2448272.49 & 02/01/2041 &  2466522.30 19/01/2091 & 2484801.19\\
16/01/1942 &  2430376.39 &  04/01/1992 &  2448626.47 & 21/01/2042 &  2466906.37 09/01/2092 & 2485155.57\\
06/01/1943 &  2430731.03 &  22/01/1993 &  2449010.28 & 11/01/2043 &  2467260.78 27/01/2093 & 2485539.64\\
25/01/1944 &  2431115.14 &  11/01/1994 &  2449364.46 & 30/01/2044 &  2467644.66 16/01/2094 & 2485894.30\\
14/01/1945 &  2431469.72 &  30/01/1995 &  2449748.45 & 18/01/2045 &  2467998.68 06/01/2095 & 2486248.90\\
03/01/1946 &  2431824.01 &  20/01/1996 &  2450103.03 & 07/01/2046 &  2468352.69 25/01/2096 & 2486632.91\\
22/01/1947 &  2432207.85 &  09/01/1997 &  2450457.69 & 26/01/2047 &  2468736.58 13/01/2097 & 2486987.12\\
11/01/1948 &  2432561.83 &  28/01/1998 &  2450841.76 & 15/01/2048 &  2469090.97 02/01/2098 & 2487341.11\\
29/01/1949 &  2432945.62 &  17/01/1999 &  2451196.16 & 04/01/2049 &  2469445.60 21/01/2099 & 2487724.89\\
